ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,2Q,S3fifo,LIRS,W-TinyLFU,TinyLFU_3,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,55.2611,52.1150,49.2611,50.2930,52.9937,51.3554,61.0018,51.4935,49.4571,51.7946,47.1526,47.1604,62.3067,59.9450,58.4440,62.4131,65.8134
200,44.1438,43.1248,41.9706,43.2427,45.4992,44.2047,52.6960,44.3488,42.4438,44.6606,40.1757,40.1849,53.9426,51.6599,50.2599,54.0351,57.5585
300,38.9438,38.1219,37.7098,39.2038,41.0233,40.0477,47.7104,40.2539,38.3936,40.4555,36.1302,36.1573,48.9178,46.7077,45.3991,49.0250,52.4863
400,35.4992,34.7887,34.6904,36.3338,37.9845,37.0547,44.1317,37.2928,35.4901,37.4964,33.2524,33.2652,45.2854,43.1434,41.8713,45.4499,48.8802
500,33.0272,32.4970,32.2693,34.0930,35.5485,34.7087,41.3356,35.0314,33.2487,35.1437,31.0411,31.0484,42.4663,40.3537,39.1293,42.5854,46.0319
600,31.2496,30.6178,30.3731,32.2811,33.5045,32.7966,39.0400,33.1609,31.4237,33.1936,29.2290,29.2493,40.1522,38.0541,36.8784,40.3007,43.6884
700,29.3439,28.8916,28.7804,30.7370,31.8138,31.1948,37.0774,31.5562,29.8616,31.5524,27.6850,27.7092,38.1488,36.1241,34.9912,38.2931,41.6871
800,27.3646,27.7592,27.3865,29.3942,30.3674,29.7779,35.3618,30.1804,28.5077,30.1494,26.3542,26.3973,36.4334,34.4048,33.3102,36.5526,39.9251
900,26.1790,27.2288,26.1266,28.2252,29.0453,28.5217,33.8240,28.9644,27.3226,28.8849,25.1967,25.2338,34.8648,32.8964,31.8440,35.0510,38.3639
1000,25.0633,25.1262,25.0485,27.1980,27.8946,27.4045,32.4590,27.8617,26.2516,27.7513,24.1518,24.2218,33.4679,31.5212,30.4987,33.6098,36.9523
2000,17.7176,17.7255,17.8486,20.3619,20.1138,19.8700,23.2230,20.5714,19.2195,20.1616,17.4699,17.5750,24.0613,22.3782,21.6163,24.1886,27.1964
3000,13.6211,13.6421,13.7169,16.3665,15.3919,15.3191,17.6296,16.1533,15.0518,15.5284,13.6248,13.6780,18.3184,16.8735,16.3186,18.4642,21.0768
4000,10.7313,10.7307,10.7615,12.7404,12.0120,11.9486,13.5614,12.9222,12.0231,12.1314,10.9011,10.9934,14.1218,12.9280,12.5191,14.2218,16.6377
5000,8.4710,8.4682,8.4329,10.2958,9.3836,9.2752,10.3836,10.2730,9.5955,9.4170,8.7682,8.8257,10.7961,9.8443,9.5768,10.9119,12.9384
6000,6.5445,6.5374,6.5102,7.6951,7.0839,7.0334,7.7586,8.0397,7.5388,7.1524,6.9275,6.9970,8.0687,7.3266,7.1679,8.1608,9.8689
7000,4.8641,4.8578,4.8239,5.5020,5.2105,5.1643,5.5380,6.0738,5.6874,5.2335,5.3273,5.3824,5.7559,5.2453,5.1902,5.8701,7.1830
8000,3.3594,3.3560,3.3444,3.6795,3.5854,3.5129,3.6945,4.3341,4.1684,3.5601,3.8497,3.8814,3.7992,3.5046,3.4933,3.8636,4.7731
9000,2.0471,2.0471,2.0348,2.1449,2.1816,2.0915,2.1520,2.8532,2.7919,2.1096,2.4890,2.5103,2.2073,2.0581,2.0797,2.2251,2.7302
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.7661,1.7828,1.0000,1.3609,1.3755,1.0000,1.0000,1.0000,1.0000,1.0000
