ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,2Q,S3-FIFO,LIRS,Hyperbolic,LeanEvict,LRU-2,Clock Sweep,lru,CLOCK,Random
100,61.0733,62.3980,60.8924,62.3534,65.4573,63.4741,61.4775,64.3349,71.4939,75.0430,63.8790,72.9482,73.8311,74.9891,77.4755
200,53.6502,53.8592,53.5207,55.4438,57.9042,56.5726,54.4977,57.3257,63.6965,67.3082,56.8642,65.1531,66.0753,67.2661,70.1230
300,49.1120,49.1113,49.0005,51.2440,53.2546,52.3057,50.2121,52.9335,58.6973,62.4028,52.4653,60.1563,61.1268,62.3324,65.4217
400,45.7506,45.7497,45.6561,48.1666,49.8684,49.1681,47.1015,49.7132,54.9618,58.6946,49.2715,56.4000,57.3957,58.5941,61.8364
500,43.0978,43.0956,43.0185,45.7001,47.1393,46.6369,44.5978,47.1524,51.9893,55.7017,46.7173,53.3784,54.3869,55.5921,58.9019
600,40.9166,40.9214,40.8297,43.6471,44.8725,44.5239,42.4830,44.9827,49.4292,53.1683,44.5371,50.8200,51.8449,53.0244,56.4718
700,39.0259,39.0299,38.9868,41.9058,42.9010,42.6922,40.6979,43.1109,47.2380,50.9272,42.6761,48.5986,49.6235,50.8429,54.1857
800,37.3372,37.3457,37.3049,40.3740,41.1693,41.1102,39.1105,41.4536,45.3022,49.0449,41.0202,46.6411,47.6749,48.8741,52.3243
900,35.9119,35.9137,35.8502,38.9678,39.6167,39.6690,37.6931,39.9638,43.5893,47.2383,39.5300,44.8846,45.9120,47.1037,50.5387
1000,34.5633,34.5624,34.5175,37.7060,38.2165,38.3580,36.3889,38.5984,42.0019,45.6198,38.1685,43.2714,44.3045,45.4824,48.9555
2000,25.4041,25.4017,25.3947,29.0927,28.3672,29.2291,27.4831,28.9314,30.8792,34.1557,28.5730,31.9151,32.9349,33.9581,37.3792
3000,19.8222,19.8227,19.8509,23.7373,22.1429,23.3767,21.8715,22.6789,23.7378,26.5686,22.3861,24.5331,25.4912,26.4026,29.5755
4000,15.7360,15.7302,15.7688,18.7477,17.4615,18.8853,17.6171,17.9380,18.4152,20.7764,17.6873,18.9900,19.8853,20.6187,23.6161
5000,12.3742,12.3681,12.4062,15.2742,13.6605,15.0541,14.0886,14.0135,14.1556,16.1130,13.8068,14.5586,15.3438,15.8934,18.5994
6000,9.5464,9.5409,9.5588,11.4586,10.4053,11.7094,11.0122,10.6584,10.6293,12.0867,10.5050,10.8688,11.5026,11.9221,14.2973
7000,7.0253,7.0107,7.0407,8.1979,7.6249,8.7746,8.1775,7.7180,7.6256,8.6331,7.6185,7.7456,8.2213,8.5227,10.3837
8000,4.7525,4.7481,4.7736,5.3724,5.1202,6.0724,5.7321,5.1245,5.0354,5.6476,5.0681,5.0746,5.3914,5.5370,6.9427
9000,2.7227,2.7031,2.7231,2.9220,2.9480,3.6507,3.5414,2.8470,2.8021,3.0687,2.8190,2.7783,2.9263,3.0063,3.7445
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.7736,1.7943,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
