ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,2Q,S3fifo,LIRS,W-TinyLFU,TinyLFU_3,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,99.1387,97.4726,97.1750,95.3472,98.2172,90.7150,99.2321,95.7337,95.1391,96.7039,94.5284,94.5368,99.2497,99.2294,99.1948,95.8449,99.2617
900,91.5666,89.7784,89.3707,88.1712,91.4354,71.2738,95.0647,88.8690,87.5901,90.3496,86.3425,86.4579,95.2833,94.9308,94.5386,78.2107,95.5768
1000,88.5263,89.3409,88.7802,87.6439,90.8742,69.7273,94.6695,88.3548,87.0347,89.8502,85.7680,85.8873,94.9046,94.5198,94.1024,76.6229,95.2113
2000,85.3324,84.7446,84.0526,83.5872,86.4740,56.8466,91.2475,84.4585,82.8800,85.9077,81.4367,81.6344,91.6125,91.0207,90.4219,62.9435,92.2089
3000,80.2000,80.4583,80.5994,80.5898,83.2221,46.7702,88.5077,81.5716,79.8012,82.9297,78.3048,78.6529,88.9654,88.2172,87.4861,51.9376,89.6933
4000,77.6886,77.9782,77.8521,78.1665,80.5097,38.1436,86.0952,79.1517,77.3272,80.3963,75.9083,76.2912,86.6232,85.7568,84.9301,42.4107,87.5106
5000,75.2882,75.1791,75.4435,76.0479,78.1055,30.4946,83.9084,77.0555,75.1756,78.1930,73.8573,74.1995,84.4943,83.5187,82.5963,33.8334,85.4719
6000,73.0918,73.0562,73.3402,74.1737,75.9278,23.5337,81.9069,75.2161,73.2864,76.2188,71.9785,72.3837,82.5377,81.4650,80.4550,26.0851,83.6659
7000,71.3851,71.1492,71.4417,72.4772,73.9181,17.1777,80.0096,73.5072,71.5720,74.3716,70.4083,70.7488,80.7027,79.5272,78.4639,18.9165,81.9075
8000,69.4417,69.4302,69.7298,70.8875,72.0701,11.2676,78.2316,71.9179,69.9573,72.6725,68.8942,69.2512,78.9819,77.7235,76.5956,12.3212,80.2198
9000,67.9784,68.3355,68.1355,69.4312,70.3429,5.8247,76.5299,70.4839,68.4456,71.0845,67.5325,67.8560,77.3036,75.9914,74.8465,6.2630,78.6890
10000,66.4213,66.3511,66.6008,68.0594,68.7288,1.0000,74.9159,69.0998,67.0279,69.5613,66.2683,66.6325,75.7283,74.3333,73.1528,1.0000,77.1757
20000,54.6293,54.6065,54.6974,57.0226,56.4006,1.0000,61.4834,57.9899,56.1102,57.2562,56.4839,56.7956,62.4697,60.6509,59.4241,1.0000,64.4970
30000,45.8608,45.8349,45.7783,48.7072,47.0790,1.0000,50.9089,49.6419,47.9032,47.6678,49.0109,49.2467,51.8861,50.0060,48.9503,1.0000,54.2399
40000,38.3483,38.3135,38.2362,40.7054,39.3599,1.0000,41.9414,42.5665,41.1229,39.6436,42.6753,43.0095,42.9082,41.0249,40.2372,1.0000,45.3210
50000,31.7362,31.7121,31.6698,33.7799,32.4528,1.0000,34.1909,36.3473,35.2722,32.6542,37.1810,37.3178,35.0368,33.3611,32.8589,1.0000,37.2922
60000,25.8295,25.8118,25.7909,27.1594,26.4642,1.0000,27.4613,30.8679,30.1877,26.4512,32.0329,32.1867,28.1095,26.7402,26.4906,1.0000,30.1416
70000,20.6013,20.5929,20.5524,21.3588,21.0858,1.0000,21.5494,26.0645,25.7292,20.9632,27.3007,27.4457,22.0614,21.0625,20.9403,1.0000,23.7057
80000,16.0270,16.0261,16.0198,16.3829,16.3386,1.0000,16.4867,21.9896,22.0753,16.1751,22.8896,23.0316,16.8240,16.1852,16.1702,1.0000,17.8927
90000,12.2097,12.2097,12.2187,12.3144,12.3609,1.0000,12.3256,18.9058,19.2660,12.2441,18.7326,18.8738,12.5685,12.2465,12.2710,1.0000,12.9755
100000,9.9528,9.9528,9.9528,9.9528,9.9528,1.0000,9.9528,17.5174,17.9973,9.9528,15.6887,15.7565,9.9528,9.9528,9.9528,1.0000,9.9528
