ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,2Q,S3-FIFO,LIRS,Hyperbolic,LeanEvict,LRU-2,Clock Sweep,lru,CLOCK,Random
100,69.3060,64.2289,64.0497,62.4112,65.5536,63.5244,61.5317,64.3662,71.5613,74.9576,63.8935,72.9899,73.7637,74.9238,77.4083
200,61.3501,55.9619,56.7784,55.4422,58.0320,56.5435,54.5423,57.3324,63.7802,67.2647,56.8392,65.2322,65.9916,67.1889,70.1268
300,56.6390,51.2912,52.3299,51.2934,53.3033,52.3443,50.2584,52.8928,58.9325,62.3835,52.4353,60.3178,61.1185,62.3078,65.3884
400,53.6356,47.1531,49.0049,48.2247,49.9017,49.2172,47.1593,49.7040,55.2166,58.6725,49.2718,56.5951,57.3688,58.5543,61.7971
500,50.3656,44.7170,46.4064,45.7565,47.1706,46.7149,44.6618,47.1794,52.2580,55.6939,46.7269,53.5939,54.3570,55.5647,58.8640
600,48.4742,42.8510,44.2607,43.7127,44.9501,44.6172,42.5675,45.0227,49.7130,53.1397,44.5661,51.0606,51.8203,52.9728,56.4259
700,42.2507,41.2641,42.4008,41.9764,42.9714,42.7641,40.7967,43.1476,47.5140,50.9825,42.7174,48.8356,49.6101,50.8281,54.3061
800,40.6962,39.0198,40.7147,40.4495,41.2515,41.1606,39.2192,41.5105,45.6052,48.9929,41.0603,46.8755,47.6779,48.8877,52.3363
900,39.2263,36.8314,39.2371,39.0339,39.7280,39.7221,37.8166,40.0179,43.9056,47.2324,39.5723,45.1400,45.9152,47.1084,50.5182
1000,42.3847,35.8517,37.9378,37.7868,38.3972,38.4202,36.5189,38.6650,42.3378,45.6044,38.2081,43.5521,44.3152,45.5111,48.9942
2000,29.0975,26.3129,28.5812,29.1955,28.7173,29.3704,27.6798,29.0372,31.3175,34.1567,28.6807,32.2950,32.9800,34.0110,37.3917
3000,22.7848,20.6772,22.5251,23.8152,22.6364,23.5183,22.1358,22.8194,24.2157,26.6415,22.5485,24.9359,25.5375,26.4372,29.7142
4000,18.3274,16.6720,17.9775,18.8438,17.9343,19.0304,17.8474,18.1322,18.8682,20.9031,17.8496,19.4049,19.9354,20.6663,23.7131
5000,14.5202,13.2367,14.1717,15.3354,14.1570,15.2000,14.3026,14.1816,14.6035,16.1571,14.0002,14.9461,15.4055,15.9310,18.6938
6000,11.2310,10.2917,10.8424,11.5435,10.8619,11.8433,11.2064,10.8387,11.0061,12.1908,10.6753,11.2090,11.5875,11.9994,14.3432
7000,8.2729,7.6147,7.8496,8.2802,7.9895,8.9120,8.3987,7.8791,7.9436,8.7499,7.7849,8.0449,8.3038,8.6087,10.4970
8000,5.5670,5.2602,5.2108,5.4519,5.4200,6.1751,5.8959,5.2461,5.2642,5.6933,5.1960,5.2992,5.4710,5.5990,6.9504
9000,3.1144,2.9962,2.8795,2.9762,3.1227,3.7700,3.6148,2.9000,2.9498,3.0892,2.8886,2.9258,2.9804,3.0528,3.7402
10000,1.0015,1.0015,1.0019,1.0014,1.0012,1.7745,1.7955,1.0009,1.0012,1.0011,1.0014,1.0013,1.0014,1.0011,1.0019
11000,1.0001,1.0001,1.0001,1.0001,1.0001,1.7329,1.7741,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
