ramSize,EACLOCK,newalgo 1,newalgo 2,newalgo 4,newalgo 8,newalgo 10,newalgo 12,newalgo 16,newalgo 20,newalgo 24,S3-FIFO,Random
100,30.7627,27.7014,27.7259,28.4846,29.2110,29.3761,29.5662,29.6715,29.7727,29.9321,30.7988,32.4344
700,14.0517,14.2222,13.8429,13.5880,13.4090,13.4277,13.4139,13.4181,13.3782,13.4172,12.8503,17.8221
800,13.2538,13.4160,13.0275,12.7568,12.5417,12.5788,12.5396,12.5528,12.5575,12.5953,12.1917,16.7638
900,12.5441,12.6281,12.2697,12.0090,11.8382,11.7893,11.7809,11.7922,11.7830,11.8410,11.6033,15.8915
1000,11.9475,11.9039,11.6301,11.3716,11.2404,11.3070,11.1731,11.3126,11.3033,11.3172,11.0802,15.0511
2000,8.0236,7.7109,7.6171,7.8464,7.9214,7.9460,7.6115,7.6759,7.6812,8.0236,7.5399,9.9269
3000,5.9336,5.5612,5.6401,5.7343,5.8253,5.8496,5.8678,5.8996,5.9260,5.9336,5.7496,7.2591
4000,4.4883,4.3282,4.3498,4.3795,4.4327,4.4474,4.4597,4.4761,4.4816,4.4883,4.6766,5.7433
5000,3.6827,3.5406,3.5501,3.6010,3.6426,3.6570,3.6661,3.6729,3.6784,3.6827,3.9229,4.7056
6000,3.1399,3.0280,3.0363,3.0614,3.1053,3.1143,3.1196,3.1275,3.1348,3.1399,3.3660,3.9646
7000,2.7029,2.6346,2.6309,2.6531,2.6814,2.6904,2.6929,2.6987,2.7000,2.7029,2.9676,3.4591
8000,2.3776,2.3357,2.3252,2.3370,2.3568,2.3638,2.3692,2.3750,2.3776,2.3776,2.6931,3.0277
9000,2.1367,2.1147,2.1104,2.1153,2.1272,2.1325,2.1329,2.1349,2.1358,2.1367,2.5032,2.6858
10000,1.9621,1.9520,1.9469,1.9488,1.9589,1.9593,1.9611,1.9618,1.9619,1.9621,2.3616,2.4143
11000,1.8384,1.8345,1.8290,1.8314,1.8364,1.8370,1.8381,1.8387,1.8384,1.8384,2.2583,2.1770
12000,1.7462,1.7439,1.7441,1.7431,1.7461,1.7460,1.7462,1.7461,1.7462,1.7462,2.1944,1.9976
13000,1.6866,1.6850,1.6863,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,2.1629,1.8536
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,2.1505,1.7340
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,2.1366,1.6528
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,2.1246,1.6137
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,2.1141,1.6128
