ramSize,EACLOCK,newalgo 1,newalgo 2,newalgo 4,newalgo 8,newalgo 10,newalgo 12,newalgo 16,newalgo 20,newalgo 24,Random
100,30.7627,27.6261,28.4711,29.6958,30.4190,30.5193,30.5831,30.6922,30.7224,30.7627,32.4344
700,14.0517,14.4663,14.2256,14.0010,13.8455,13.8063,13.8052,13.8515,13.9296,14.0517,17.8221
800,13.2538,13.6758,13.4092,13.1705,13.0987,13.0793,13.0753,13.0992,13.1560,13.2538,16.7638
900,12.5441,12.9666,12.6710,12.5194,12.4719,12.4605,12.4525,12.4529,12.4869,12.5441,15.8915
1000,11.9475,12.2791,12.0197,11.9645,11.8678,11.8772,11.8792,11.8969,11.9195,11.9475,15.0511
2000,8.0236,7.8587,7.8324,7.8464,7.9214,7.9460,7.9622,7.9872,8.0002,8.0236,9.9269
3000,5.9336,5.5612,5.6401,5.7343,5.8253,5.8496,5.8678,5.8996,5.9260,5.9336,7.2591
4000,4.4883,4.3282,4.3498,4.3795,4.4327,4.4474,4.4597,4.4761,4.4816,4.4883,5.7433
5000,3.6827,3.5406,3.5501,3.6010,3.6426,3.6570,3.6661,3.6729,3.6784,3.6827,4.7056
6000,3.1399,3.0280,3.0363,3.0614,3.1053,3.1143,3.1196,3.1275,3.1348,3.1399,3.9646
7000,2.7029,2.6346,2.6309,2.6531,2.6814,2.6904,2.6929,2.6987,2.7000,2.7029,3.4591
8000,2.3776,2.3357,2.3252,2.3370,2.3568,2.3638,2.3692,2.3750,2.3776,2.3776,3.0277
9000,2.1367,2.1147,2.1104,2.1153,2.1272,2.1325,2.1329,2.1349,2.1358,2.1367,2.6858
10000,1.9621,1.9520,1.9469,1.9488,1.9589,1.9593,1.9611,1.9618,1.9619,1.9621,2.4143
11000,1.8384,1.8345,1.8290,1.8314,1.8364,1.8370,1.8381,1.8387,1.8384,1.8384,2.1770
12000,1.7462,1.7439,1.7441,1.7431,1.7461,1.7460,1.7462,1.7461,1.7462,1.7462,1.9976
13000,1.6866,1.6850,1.6863,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.8536
14000,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.7340
15000,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6528
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6137
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
