ramSize,EACLOCK,newalgo 1,newalgo 2,newalgo 4,newalgo 8,newalgo 10,newalgo 12,newalgo 16,newalgo 20,newalgo 24,Random
100,48.6874,57.6073,55.0918,52.7392,50.7276,50.2184,49.8268,49.2907,48.9298,48.6874,65.8134
200,41.4704,49.4530,47.0855,44.8537,43.1614,42.6843,42.3858,41.9689,41.6877,41.4704,57.5585
300,37.2332,44.5837,42.3292,40.3436,38.7921,38.4190,38.0952,37.7034,37.4162,37.2332,52.4863
400,34.2533,41.0663,39.0146,37.1249,35.6830,35.3037,35.0332,34.6949,34.4035,34.2533,48.8802
500,31.9408,38.3508,36.3841,34.6164,33.2290,32.8845,32.6330,32.2702,32.0753,31.9408,46.0319
600,30.0379,36.1469,34.2138,32.5514,31.2197,30.9136,30.6953,30.3524,30.1652,30.0379,43.6884
700,28.4454,34.2623,32.4071,30.7705,29.5543,29.2560,29.0324,28.7653,28.5682,28.4454,41.6871
800,27.0651,32.5885,30.8162,29.2384,28.0953,27.8278,27.6168,27.3694,27.1884,27.0651,39.9251
900,25.9009,31.1432,29.3724,27.9042,26.8348,26.5738,26.3682,26.1150,25.9719,25.9009,38.3639
1000,24.7907,29.8040,28.1126,26.7036,25.6769,25.4184,25.2392,25.0272,24.8946,24.7907,36.9523
2000,17.6984,21.0198,19.8035,18.8719,18.1988,18.0300,17.9275,17.8001,17.7365,17.6984,27.1964
3000,13.6170,15.8424,14.9492,14.2896,13.8829,13.7845,13.7104,13.6458,13.6180,13.6170,21.0768
4000,10.7313,12.1176,11.4821,11.0457,10.8221,10.7698,10.7444,10.7203,10.7240,10.7313,16.6377
5000,8.4710,9.2717,8.8280,8.5287,8.4115,8.4024,8.4212,8.4373,8.4552,8.4710,12.9384
6000,6.5445,6.9482,6.6685,6.5183,6.4831,6.4887,6.4930,6.5155,6.5368,6.5445,9.8689
7000,4.8641,5.0171,4.8923,4.8190,4.8138,4.8140,4.8202,4.8469,4.8595,4.8641,7.1830
8000,3.3594,3.3993,3.3547,3.3337,3.3220,3.3332,3.3416,3.3495,3.3560,3.3594,4.7731
9000,2.0471,2.0437,2.0340,2.0285,2.0319,2.0368,2.0364,2.0363,2.0484,2.0471,2.7302
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
