ramSize,EACLOCK,newalgo 1,newalgo 2,newalgo 4,newalgo 8,newalgo 10,newalgo 12,newalgo 16,newalgo 20,newalgo 24,S3-FIFO,Random
100,48.6874,57.8310,55.5816,53.6342,52.1207,51.7157,51.5339,51.0649,50.9139,50.7344,49.4571,65.8134
200,41.4704,49.5118,47.2325,45.1826,43.5858,43.2681,42.9871,42.6906,42.1963,42.1163,42.4438,57.5585
300,37.2332,44.6098,42.4030,40.4325,38.8750,38.6185,38.3548,37.9615,37.7092,37.5922,38.3936,52.4863
400,34.2533,41.0663,39.0433,37.1418,35.6965,35.3195,35.0787,34.7844,34.4861,34.3768,35.4901,48.8802
500,31.9408,38.3508,36.3918,34.6164,33.2290,32.8845,32.6330,32.2702,32.1543,31.9408,33.2487,46.0319
600,30.0379,36.1590,34.2321,32.5514,31.2197,30.9136,30.6953,30.3524,30.1652,30.0379,31.4237,43.6884
700,28.4454,34.2623,32.4071,30.7705,29.5543,29.2560,29.0324,28.7653,28.5682,28.4454,29.8616,41.6871
800,27.0651,32.5885,30.8162,29.2384,28.0953,27.8278,27.6168,27.3694,27.1884,27.0651,28.5077,39.9251
900,25.9009,31.1432,29.3724,27.9042,26.8348,26.5738,26.3682,26.1150,25.9719,25.9009,27.3226,38.3639
1000,24.7907,29.8040,28.1126,26.7036,25.6769,25.4184,25.2392,25.0272,24.8946,24.7907,26.2516,36.9523
2000,17.6984,21.0198,19.8035,18.8719,18.1988,18.0300,17.9275,17.8001,17.7365,17.6984,19.2195,27.1964
3000,13.6170,15.8424,14.9492,14.2896,13.8829,13.7845,13.7104,13.6458,13.6180,13.6170,15.0518,21.0768
4000,10.7313,12.1176,11.4821,11.0457,10.8221,10.7698,10.7444,10.7203,10.7240,10.7313,12.0231,16.6377
5000,8.4710,9.2717,8.8280,8.5287,8.4115,8.4024,8.4212,8.4373,8.4552,8.4710,9.5955,12.9384
6000,6.5445,6.9482,6.6685,6.5183,6.4831,6.4887,6.4930,6.5155,6.5368,6.5445,7.5388,9.8689
7000,4.8641,5.0171,4.8923,4.8190,4.8138,4.8140,4.8202,4.8469,4.8595,4.8641,5.6874,7.1830
8000,3.3594,3.3993,3.3547,3.3337,3.3220,3.3332,3.3416,3.3495,3.3560,3.3594,4.1684,4.7731
9000,2.0471,2.0437,2.0340,2.0285,2.0319,2.0368,2.0364,2.0363,2.0484,2.0471,2.7919,2.7302
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.7828,1.0000
