algo,ramSize,elements,reads,writes
2Q,100,1000000,634741,0
2Q,200,1000000,565726,0
2Q,300,1000000,523057,0
2Q,400,1000000,491681,0
2Q,500,1000000,466369,0
2Q,600,1000000,445239,0
2Q,700,1000000,426922,0
2Q,800,1000000,411102,0
2Q,900,1000000,396690,0
2Q,1000,1000000,383580,0
2Q,2000,1000000,292291,0
2Q,3000,1000000,233767,0
2Q,4000,1000000,188853,0
2Q,5000,1000000,150541,0
2Q,6000,1000000,117094,0
2Q,7000,1000000,87746,0
2Q,8000,1000000,60724,0
2Q,9000,1000000,36507,0
2Q,10000,1000000,17736,0
ARC,100,1000000,623534,0
ARC,200,1000000,554438,0
ARC,300,1000000,512440,0
ARC,400,1000000,481666,0
ARC,500,1000000,457001,0
ARC,600,1000000,436471,0
ARC,700,1000000,419058,0
ARC,800,1000000,403740,0
ARC,900,1000000,389678,0
ARC,1000,1000000,377060,0
ARC,2000,1000000,290927,0
ARC,3000,1000000,237373,0
ARC,4000,1000000,187477,0
ARC,5000,1000000,152742,0
ARC,6000,1000000,114586,0
ARC,7000,1000000,81979,0
ARC,8000,1000000,53724,0
ARC,9000,1000000,29220,0
ARC,10000,1000000,10000,0
CLOCK,100,1000000,749891,0
CLOCK,200,1000000,672661,0
CLOCK,300,1000000,623324,0
CLOCK,400,1000000,585941,0
CLOCK,500,1000000,555921,0
CLOCK,600,1000000,530244,0
CLOCK,700,1000000,508429,0
CLOCK,800,1000000,488741,0
CLOCK,900,1000000,471037,0
CLOCK,1000,1000000,454824,0
CLOCK,2000,1000000,339581,0
CLOCK,3000,1000000,264026,0
CLOCK,4000,1000000,206187,0
CLOCK,5000,1000000,158934,0
CLOCK,6000,1000000,119221,0
CLOCK,7000,1000000,85227,0
CLOCK,8000,1000000,55370,0
CLOCK,9000,1000000,30063,0
CLOCK,10000,1000000,10000,0
Clock Sweep,100,1000000,729482,0
Clock Sweep,200,1000000,651531,0
Clock Sweep,300,1000000,601563,0
Clock Sweep,400,1000000,564000,0
Clock Sweep,500,1000000,533784,0
Clock Sweep,600,1000000,508200,0
Clock Sweep,700,1000000,485986,0
Clock Sweep,800,1000000,466411,0
Clock Sweep,900,1000000,448846,0
Clock Sweep,1000,1000000,432714,0
Clock Sweep,2000,1000000,319151,0
Clock Sweep,3000,1000000,245331,0
Clock Sweep,4000,1000000,189900,0
Clock Sweep,5000,1000000,145586,0
Clock Sweep,6000,1000000,108688,0
Clock Sweep,7000,1000000,77456,0
Clock Sweep,8000,1000000,50746,0
Clock Sweep,9000,1000000,27783,0
Clock Sweep,10000,1000000,10000,0
EACLOCK,100,1000000,610733,0
EACLOCK,200,1000000,536502,0
EACLOCK,300,1000000,491120,0
EACLOCK,400,1000000,457506,0
