ramSize,EACLOCK,EACLOCK-FDW,ARC,WATT,2Q,S3-FIFO,LIRS,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,94.9255,89.7192,88.7477,91.8908,89.1862,87.8556,90.9371,90.7150,95.2458,95.8449,95.6616,95.7219,95.8920,96.0533
200,87.8802,85.1233,84.5894,87.4461,85.0979,83.4261,86.9331,86.6258,91.5453,92.7033,92.1493,92.3720,92.7227,93.1291
300,86.9838,81.2968,81.5228,84.0831,82.0876,80.1908,83.8792,83.5548,88.5515,90.0255,89.2990,89.5942,90.0419,90.6649
400,78.1871,78.0002,78.9914,81.3482,79.5248,77.5457,81.3212,80.9702,85.9406,87.6786,86.7946,87.1508,87.6737,88.4834
500,76.9529,75.9304,76.8290,78.7674,77.3276,75.2721,79.0589,78.6940,83.5902,85.4945,84.5250,84.9261,85.5130,86.4773
600,78.8168,73.4230,74.8862,76.4428,75.3450,73.2133,76.9993,76.6195,81.4139,83.4925,82.4438,82.8961,83.5405,84.6150
700,76.0377,71.7453,73.1218,74.2987,73.5296,71.3581,75.1114,74.7346,79.3754,81.6697,80.4574,80.9671,81.6555,82.8390
800,71.1970,69.2900,71.4876,72.3540,71.8442,69.6810,73.3618,72.9591,77.4756,79.9174,78.6033,79.1540,79.8929,81.2098
900,66.4429,66.6182,69.9648,70.6358,70.2920,68.0732,71.7006,71.2738,75.6506,78.2107,76.8617,77.4466,78.2112,79.5895
1000,66.5659,64.8703,68.5316,68.8559,68.7986,66.5979,70.1469,69.7273,73.9353,76.6229,75.1600,75.7892,76.6023,78.0648
2000,51.2205,51.5656,57.0473,55.8402,56.8564,54.5890,57.2638,56.8466,59.5828,62.9435,60.9617,61.8748,62.8600,65.0487
3000,41.8234,41.8778,48.4894,45.8698,47.4846,45.3222,47.1878,46.7702,48.4236,51.9376,49.6583,50.7670,51.7553,54.3551
4000,33.9117,33.8677,39.6989,37.4436,39.3673,37.4226,38.5179,38.1436,39.0039,42.4107,40.0572,41.2603,42.2188,44.9077
5000,27.1412,27.1210,32.7873,30.0147,32.0357,30.3957,30.8206,30.4946,30.8187,33.8334,31.6146,32.8307,33.6432,36.4347
6000,21.0940,21.0809,25.1499,23.0662,25.1673,23.9487,23.8314,23.5337,23.5223,26.0851,24.0206,25.1734,25.8329,28.5121
7000,15.5124,15.5002,18.2117,16.9627,18.6786,17.6727,17.3555,17.1777,16.9906,18.9165,17.2286,18.2265,18.6922,20.9959
8000,10.2964,10.2802,11.8412,11.2358,12.6039,11.9370,11.3839,11.2676,11.0369,12.3212,11.0935,11.8471,12.1188,13.9974
9000,5.4752,5.4643,6.0626,5.9701,6.8482,6.5399,5.8787,5.8247,5.6910,6.2630,5.6774,6.0627,6.1994,7.2763
10000,1.0000,1.0000,1.0000,1.0000,1.7831,1.8171,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
