ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,2Q,S3-FIFO,LIRS,Hyperbolic,LeanEvict,LRU-2,Clock Sweep,lru,CLOCK,Random
100,59501,55780,60333,56396,56403,60223,58235,60526,66998,77768,59426,69805,74291,77377,86846
200,46259,45350,50999,49451,49190,53215,51183,53249,58780,69398,52284,61510,66006,68967,80069
300,40829,39810,39089,45650,44919,49069,47066,48927,54104,64272,48091,56643,61001,63947,75393
400,37333,36363,38080,42917,41986,45986,44176,45975,50556,60802,45116,53159,57461,60283,72072
500,34829,34122,38030,40889,39545,43700,41892,43633,47761,57936,42728,50369,54668,57458,69307
600,33175,32287,35075,39177,37549,41743,40036,41672,45449,55594,40858,47978,52417,55134,67017
700,31256,30642,32513,37786,35905,40154,38400,40070,43560,53568,39264,45981,50361,53130,65033
800,29080,29816,28627,36634,34494,38776,37085,38786,41883,51784,37901,44245,48577,51422,63156
900,27961,29939,27457,35578,33138,37563,35927,37423,40465,50252,36638,42780,47041,49790,61632
1000,26863,27057,26579,34633,32089,36459,34839,36357,39133,48869,35510,41373,45656,48350,60409
2000,20123,20162,20029,28846,24923,28954,27586,28589,30136,39059,28063,32017,36094,38583,50229
3000,16814,16906,16721,25584,20713,24438,23284,23768,24804,32854,23567,26379,30131,32397,43564
4000,14635,14646,14556,23384,17717,21115,20121,20233,20977,28074,20203,22249,25632,27707,38390
5000,13059,13087,12966,21778,15464,18288,17501,17390,17929,24133,17516,18890,21952,23748,33675
6000,11709,11724,11643,18528,13667,15926,15180,15045,15497,20581,15268,16140,18699,20265,29235
7000,10651,10645,10582,15707,12143,13977,13168,13082,13359,17307,13298,13762,15822,17032,24861
8000,9724,9724,9674,13024,10891,12056,11731,11265,11549,14101,11486,11656,13103,13984,19955
9000,9016,9011,8998,10552,9661,10547,10371,9715,9957,11076,9800,9866,10609,11082,14810
10000,8527,8527,8527,8527,8527,9318,9335,8527,8527,8527,8527,8527,8527,8527,8527
