algo,ramSize,elements,reads,writes
2Q,100,1482866,190060,9606
2Q,600,1482866,148242,4306
2Q,700,1482866,146739,4248
2Q,800,1482866,145429,4196
2Q,900,1482866,144092,4114
2Q,1000,1482866,142850,4044
2Q,2000,1482866,132706,3658
2Q,3000,1482866,125336,3422
2Q,4000,1482866,119691,3333
2Q,5000,1482866,114780,3253
2Q,6000,1482866,110710,3150
2Q,7000,1482866,106714,3067
2Q,8000,1482866,103206,3000
2Q,9000,1482866,100034,2932
2Q,10000,1482866,97092,2869
2Q,20000,1482866,80751,2382
2Q,30000,1482866,75467,2311
2Q,40000,1482866,71757,2289
2Q,50000,1482866,69496,2286
2Q,60000,1482866,67891,2283
2Q,70000,1482866,66492,2278
ARC,100,1482866,207318,12139
ARC,600,1482866,159449,5205
ARC,700,1482866,157339,4961
ARC,800,1482866,155454,4731
ARC,900,1482866,153777,4576
ARC,1000,1482866,152477,4477
ARC,2000,1482866,143901,4024
ARC,3000,1482866,136638,3662
ARC,4000,1482866,130838,3469
ARC,5000,1482866,125406,3121
ARC,6000,1482866,120752,2973
ARC,7000,1482866,116393,2871
ARC,8000,1482866,112306,2795
ARC,9000,1482866,108878,2699
ARC,10000,1482866,105877,2634
ARC,20000,1482866,83060,2349
ARC,30000,1482866,73305,2257
ARC,40000,1482866,68954,2200
ARC,50000,1482866,66768,2183
ARC,60000,1482866,65797,2180
ARC,70000,1482866,65656,2180
CLOCK,100,1482866,219906,13191
CLOCK,600,1482866,169933,6933
CLOCK,700,1482866,166391,6459
CLOCK,800,1482866,163362,6062
CLOCK,900,1482866,161031,5795
CLOCK,1000,1482866,159093,5570
CLOCK,2000,1482866,146628,4462
CLOCK,3000,1482866,138782,3957
CLOCK,4000,1482866,132679,3689
CLOCK,5000,1482866,127641,3487
CLOCK,6000,1482866,123008,3304
CLOCK,7000,1482866,119218,3178
CLOCK,8000,1482866,115369,3074
CLOCK,9000,1482866,112281,2983
CLOCK,10000,1482866,109126,2898
CLOCK,20000,1482866,87709,2470
CLOCK,30000,1482866,77599,2337
CLOCK,40000,1482866,71770,2278
CLOCK,50000,1482866,69602,2245
