ramSize,EACLOCK,EACLOCK-FDW,opt,W-TinyLFU,ARC,WATT,2Q,S3-FIFO,LIRS,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,13.9120,14.2451,11.0562,29.9680,13.9809,13.2466,12.8171,14.5149,14.6071,16.8473,14.5174,14.8298,13.8325,13.9430,14.8142,16.6142
600,11.2621,10.8580,8.6665,10.9512,10.7528,10.2759,9.9970,11.1924,10.7575,12.3543,11.2024,11.4598,11.0802,11.1299,11.4502,12.2664
700,10.9398,10.7136,8.4792,10.8452,10.6105,10.1487,9.8956,11.0266,10.6113,12.1351,10.9820,11.2209,10.9156,10.9655,11.2258,11.9950
800,10.8650,10.5875,8.3136,10.7575,10.4833,10.0532,9.8073,10.8771,10.4850,11.9416,10.8170,11.0166,10.7845,10.8259,11.0383,11.7643
900,10.7288,10.4641,8.1655,10.6183,10.3703,9.9431,9.7171,10.7572,10.3696,11.7994,10.6778,10.8594,10.6724,10.7066,10.8823,11.5992
1000,10.6115,10.3674,8.0269,10.0983,10.2826,9.8556,9.6334,10.6455,10.2789,11.6715,10.5560,10.7288,10.5775,10.6072,10.7449,11.4372
2000,9.9325,9.8237,7.0645,9.2722,9.7042,9.1303,8.9493,9.9447,9.6541,10.8922,9.7786,9.8881,9.8794,9.9093,9.8890,10.4054
3000,9.5804,9.4948,6.4654,8.9603,9.2145,8.5798,8.4523,9.4774,9.2112,10.3788,9.2497,9.3590,9.4240,9.4536,9.3619,9.8053
4000,9.3050,9.1678,6.0377,8.7388,8.8233,8.1466,8.0716,9.0772,8.8375,9.9579,8.8340,8.9475,9.0669,9.1058,8.9596,9.3468
5000,9.0504,8.9481,5.7113,8.5719,8.4570,7.7883,7.7404,8.7350,8.4936,9.5814,8.4934,8.6077,8.7498,8.8032,8.6078,8.9782
6000,8.7514,8.6021,5.4416,8.3897,8.1431,7.4656,7.4659,8.4226,8.1789,9.2319,8.1859,8.2953,8.4745,8.5200,8.2939,8.6587
7000,8.4395,8.2690,5.2377,8.2326,7.8492,7.1869,7.1965,8.1380,7.8928,8.9097,7.9080,8.0397,8.2129,8.2548,8.0319,8.3996
8000,8.1452,8.0745,5.0499,8.0397,7.5736,6.9587,6.9599,7.8971,7.6367,8.6235,7.6461,7.7801,7.9741,8.0119,7.7893,8.1467
9000,7.9350,7.7923,4.9150,8.0210,7.3424,6.7461,6.7460,7.6518,7.3990,8.3559,7.4115,7.5719,7.7368,7.7785,7.5569,7.9073
10000,7.6927,7.6026,4.7801,7.8081,7.1400,6.5320,6.5476,7.4469,7.1870,8.1051,7.1913,7.3591,7.5150,7.5564,7.3445,7.6948
20000,5.9557,5.9557,4.4276,6.9238,5.6013,5.3160,5.4456,6.0632,5.6653,6.2796,5.7017,5.9148,5.9187,5.9424,5.8783,6.2580
30000,5.0925,5.0925,4.4276,6.2112,4.9435,4.8318,5.0893,5.4853,4.9786,5.2639,4.9996,5.2330,5.0823,5.1164,5.1404,5.4516
40000,4.6959,4.6959,4.4276,5.8620,4.6500,4.6093,4.8391,5.4113,4.6533,4.7468,4.6492,4.8400,4.6768,4.7016,4.7334,4.9404
50000,4.5028,4.5028,4.4276,5.5734,4.5026,4.4895,4.6866,5.3804,4.4995,4.5026,4.4927,4.6937,4.5027,4.5087,4.5329,4.6278
60000,4.4372,4.4372,4.4276,5.3387,4.4372,4.4337,4.5784,5.3437,4.4341,4.4372,4.4336,4.4896,4.4372,4.4376,4.4387,4.4581
70000,4.4276,4.4276,4.4276,5.1262,4.4276,4.4276,4.4840,5.3118,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276
