ramSize,EACLOCK,EACLOCK-FDW,opt,W-TinyLFU,ARC,WATT,2Q,S3-FIFO,LIRS,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,82.2714,77.9818,67.7275,87.2624,77.6124,77.7082,74.3847,74.5418,77.3796,80.3114,83.8422,84.5394,83.5195,82.7255,84.5579,85.7694
1000,65.1907,62.6810,49.0950,69.9669,58.7253,59.4269,55.9865,55.7291,60.1810,61.8516,67.9223,68.7820,67.7054,66.8463,68.6776,70.6188
2000,58.7028,54.1003,40.4684,63.2608,49.1417,50.8707,47.7260,46.9105,49.6210,51.1689,60.8128,61.8174,60.6807,59.6945,61.3767,63.2830
3000,53.0535,48.7959,35.3708,57.0547,43.9483,45.6010,43.3787,42.5761,43.7522,45.3272,55.4038,56.6643,55.2692,53.8757,55.5894,57.3675
4000,43.9966,43.9234,30.8672,53.3779,42.7480,42.0252,41.1044,39.7493,40.5352,42.1902,50.3581,51.7443,50.5693,48.9149,50.3252,52.1704
5000,40.4691,39.3492,26.8754,49.1061,41.4029,39.3351,38.2201,37.8856,37.6397,39.4702,45.8772,47.7033,45.5140,43.8347,45.4310,47.5341
6000,37.1227,37.1093,23.4213,45.3968,38.8438,36.7482,35.5756,35.5363,34.9288,36.4382,41.2603,42.9259,41.3244,39.6448,40.9924,43.3987
7000,34.3923,34.0439,20.6638,41.7096,35.6654,34.0979,32.8460,33.0921,32.7372,33.3761,35.6433,37.8304,36.0592,35.0094,36.8920,39.6626
8000,31.4656,31.8460,18.1649,38.8760,33.3773,31.1317,29.7502,30.7685,30.8605,31.5173,32.3811,34.2995,32.3233,31.3424,33.2948,36.1589
9000,29.0256,29.3709,15.8729,35.4950,30.7395,28.3186,27.3357,28.5633,28.7172,29.1081,29.4086,30.6849,29.3602,28.7455,30.1069,32.8140
10000,26.2373,26.6390,13.8878,32.2027,27.0887,25.6609,25.3587,26.3222,25.9560,26.2644,27.1240,28.1404,26.7987,26.2541,27.2269,29.7261
11000,23.7452,24.0388,12.0509,28.7720,25.0909,23.3495,23.3892,24.4459,23.5732,23.9166,24.9868,25.3759,24.0167,23.7838,24.5358,26.6595
12000,21.0762,21.4034,10.3086,25.8253,22.8009,20.6828,21.6211,22.3645,21.4558,22.2874,23.0617,23.1193,21.7020,21.4604,21.9646,23.7069
13000,18.3461,19.6045,8.6752,22.5521,21.3287,18.6180,19.3411,19.8514,18.8322,19.6777,21.5294,21.2467,19.6584,19.2652,19.4441,20.7410
14000,16.0271,16.8519,7.3078,19.3814,18.9488,16.0759,17.6059,17.6140,16.3246,17.3592,19.0845,18.6252,17.2384,16.9901,17.0098,17.8863
15000,13.7023,14.3254,6.0724,16.4440,16.3150,13.7928,15.1474,15.7322,14.0351,14.5800,16.5104,17.1928,15.2234,14.5659,14.5557,14.9746
16000,11.1910,11.8796,4.9008,13.5253,14.7560,11.4540,13.0772,13.1354,11.7232,12.8125,14.8236,13.2856,12.5532,12.1290,12.1052,12.1389
17000,8.6379,9.3625,3.7578,10.8005,11.2886,8.6111,11.0128,10.7189,9.6411,9.9490,11.2935,11.4427,10.1289,9.5625,9.5424,9.2791
18000,6.2740,6.2777,2.7079,7.9451,8.7685,6.4101,8.5245,8.1897,7.7786,7.6273,8.8478,8.8827,7.5781,6.8686,6.9157,6.5132
19000,3.5920,3.5951,1.7375,4.4860,6.4525,3.7120,5.6185,5.3282,5.0011,4.8258,6.4096,5.1002,4.6724,4.0077,4.0106,3.7275
20000,1.0000,1.0000,1.0000,1.6832,1.0000,1.0000,1.8601,1.8061,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
