ramSize,EACLOCK,EACLOCK-FDW,opt,W-TinyLFU,ARC,WATT,2Q,S3-FIFO,LIRS,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,94.2514,89.7192,77.5232,86.0239,,,89.1821,87.8556,90.9371,,95.7219,95.8920,95.6616,,,
200,90.3385,85.1233,70.2322,80.9895,,,85.0844,83.4261,86.9331,,92.3720,92.7227,92.1493,,,
300,87.0845,81.2968,65.1740,77.3276,,,82.0739,80.1908,83.8792,,89.5942,90.0419,89.2990,,,
400,84.4883,78.0002,61.1878,74.3551,,,79.5011,77.5457,81.3212,,87.1508,87.6737,86.7946,,,
500,79.2888,75.9304,57.8616,71.8594,,,77.3020,75.2721,79.0589,,84.9261,85.5130,84.5250,,,
600,78.1040,73.4230,54.9637,69.6364,,,75.3132,73.2133,76.9993,,82.8961,83.5405,82.4438,,,
700,73.2125,71.7453,52.4200,67.6181,,,73.4958,71.3581,75.1114,,80.9671,81.6555,80.4574,,,
800,73.9977,69.2900,50.1395,65.7854,,,71.8046,69.6810,73.3618,,79.1540,79.8929,78.6033,,,
900,73.5235,66.6182,48.0699,64.0721,,,70.2462,68.0732,71.7006,,77.4466,78.2112,76.8617,,,
1000,69.4297,64.8703,46.1665,62.4537,,,68.7473,66.5979,70.1469,,75.7892,76.6023,75.1600,,,
2000,55.2450,51.5656,32.5144,50.1556,,,56.7542,54.5890,57.2638,,61.8748,62.8600,60.9617,,,
3000,42.0312,41.8778,23.8625,41.2467,,,47.3289,45.3222,47.1878,,50.7670,51.7553,49.6583,,,
4000,34.0552,33.8677,17.5865,33.8488,,,39.1734,37.4226,38.5179,,41.2603,42.2188,40.0572,,,
5000,27.1162,27.1210,12.8099,27.4861,,,31.7915,30.3957,30.8206,,32.8307,33.6432,31.6146,,,
6000,21.0300,21.0809,9.0756,21.6415,,,24.8686,23.9487,23.8314,,25.1734,25.8329,24.0206,,,
7000,15.4475,15.5002,6.1219,16.1709,,,18.3415,17.6727,17.3555,,18.2265,18.6922,17.2286,,,
8000,10.2666,10.2802,3.8165,11.0917,,,12.1887,11.9370,11.3839,,11.8471,12.1188,11.0935,,,
9000,5.4349,5.4643,2.0843,6.1501,,,6.3744,6.5399,5.8787,,6.0627,6.1994,5.6774,,,
10000,1.0000,1.0000,1.0000,1.6193,,,1.2500,1.8171,1.0000,,1.0000,1.0000,1.0000,,,
