ramSize,EACLOCK,EACLOCK-FDW,opt,W-TinyLFU,ARC,WATT,2Q,S3-FIFO,LIRS,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,99.0041,99.0040,86.8255,99.0015,99.0028,,99.0031,99.0078,98.9893,,99.0058,99.0045,99.0046,99.0048,,98.9885
200,98.0132,98.0091,81.2250,98.0206,98.0100,,98.0269,98.0183,97.9935,,98.0078,98.0069,98.0087,98.0131,,97.9832
300,97.0043,97.0014,77.0435,97.0483,97.0037,,97.0337,97.0305,97.0067,,97.0103,97.0119,97.0120,97.0092,,97.0191
400,96.0044,96.0160,73.5695,96.0546,95.9990,,96.0315,96.0233,96.0013,,96.0110,96.0132,96.0116,96.0055,,95.9828
500,94.9882,94.9985,70.5650,95.0603,94.9976,,95.0460,95.0347,94.9952,,94.9970,94.9965,94.9959,94.9948,,94.9922
600,93.9855,94.0146,67.8753,94.0720,93.9999,,94.0350,94.0407,93.9884,,93.9964,93.9992,93.9971,94.0085,,94.0001
700,93.0190,92.9860,65.4303,93.0547,92.9774,,93.0194,93.0375,92.9911,,93.0015,92.9999,92.9927,93.0019,,93.0019
800,91.9831,92.0057,63.1832,92.0900,91.9828,,92.0267,92.0456,91.9902,,91.9965,92.0005,91.9926,91.9998,,92.0214
900,90.9991,90.9960,61.1105,91.0977,90.9832,,91.0281,91.0409,90.9864,,90.9938,90.9900,90.9911,90.9926,,90.9979
1000,90.0147,89.9740,59.1732,90.1498,89.9881,,90.0332,90.0718,89.9732,,89.9825,89.9815,89.9874,89.9959,,90.0243
2000,80.0039,79.9536,44.2781,80.2976,79.9619,,80.1155,80.1387,80.0229,,79.9499,79.9417,79.9439,79.9312,,79.9566
3000,70.0339,70.0083,33.8826,70.3880,69.9858,,70.1352,70.2004,70.0278,,69.9772,70.0041,69.9855,69.9732,,70.0506
4000,60.0922,59.9760,25.7725,60.6619,60.0160,,60.2814,60.2861,60.0248,,60.0371,60.0184,60.0160,60.0262,,60.0658
5000,50.1284,50.1494,19.2559,50.8643,50.0856,,50.4086,50.3889,50.0477,,50.0820,50.0781,50.1010,50.0394,,50.0538
6000,40.1902,40.2077,13.8938,40.9930,40.1499,,40.5677,40.5498,40.1459,,40.1637,40.1323,40.1544,40.1866,,40.1444
7000,30.3587,30.3523,9.4652,31.2068,30.2409,,30.7243,30.7468,30.2683,,30.2301,30.2406,30.2834,30.2783,,30.3416
8000,20.4660,20.4748,5.8440,21.3777,20.4081,,20.9480,21.0413,20.4483,,20.3997,20.4137,20.4116,20.4276,,20.4747
9000,10.6616,10.6681,2.9632,11.6352,10.6564,,11.3172,11.3369,10.6998,,10.6525,10.6554,10.6696,10.6602,,10.6070
10000,1.0082,1.0082,1.0010,1.9165,1.0081,,1.8148,1.8506,1.0097,,1.0081,1.0099,1.0106,1.0091,,1.0080
11000,1.0001,1.0001,1.0001,1.6931,1.0001,,1.7506,1.8255,1.0001,,1.0001,1.0001,1.0001,1.0001,,1.0001
