ramSize,EACLOCK,EACLOCK-FDW,opt,W-TinyLFU,ARC,WATT,2Q,S3-FIFO,LIRS,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,13.9120,14.2451,11.0562,29.9680,,,12.8171,14.5149,14.6071,,14.5174,14.8298,13.8325,,,
600,11.2621,10.8580,8.6665,10.9512,,,9.9970,11.1924,10.7575,,11.2024,11.4598,11.0802,,,
700,10.9398,10.7136,8.4792,10.8452,,,9.8956,11.0266,10.6113,,10.9820,11.2209,10.9156,,,
800,10.8650,10.5875,8.3136,10.7575,,,9.8073,10.8771,10.4850,,10.8170,11.0166,10.7845,,,
900,10.7288,10.4641,8.1655,10.6183,,,9.7171,10.7572,10.3696,,10.6778,10.8594,10.6724,,,
1000,10.6115,10.3674,8.0269,10.0983,,,9.6334,10.6455,10.2789,,10.5560,10.7288,10.5775,,,
2000,9.9325,9.8237,7.0645,9.2722,,,8.9493,9.9447,9.6541,,9.7786,9.8881,9.8794,,,
3000,9.5804,9.4948,6.4654,8.9603,,,8.4523,9.4774,9.2112,,9.2497,9.3590,9.4240,,,
4000,9.3050,9.1678,6.0377,8.7388,,,8.0716,9.0772,8.8375,,8.8340,8.9475,9.0669,,,
5000,9.0504,8.9481,5.7113,8.5719,,,7.7404,8.7350,8.4936,,8.4934,8.6077,8.7498,,,
6000,8.7514,8.6021,5.4416,8.3897,,,7.4659,8.4226,8.1789,,8.1859,8.2953,8.4745,,,
7000,8.4395,8.2690,5.2377,8.2326,,,7.1965,8.1380,7.8928,,7.9080,8.0397,8.2129,,,
8000,8.1452,8.0745,5.0499,8.0397,,,6.9599,7.8971,7.6367,,7.6461,7.7801,7.9741,,,
9000,7.9350,7.7923,4.9150,8.0210,,,6.7460,7.6518,7.3990,,7.4115,7.5719,7.7368,,,
10000,7.6927,7.6026,4.7801,7.8081,,,6.5476,7.4469,7.1870,,7.1913,7.3591,7.5150,,,
20000,5.9557,5.9557,4.4276,6.9238,,,5.4456,6.0632,5.6653,,5.7017,5.9148,5.9187,,,
30000,5.0925,5.0925,4.4276,6.2112,,,5.0893,5.4853,4.9786,,4.9996,5.2330,5.0823,,,
40000,4.6959,4.6959,4.4276,5.8620,,,4.8391,5.4113,4.6533,,4.6492,4.8400,4.6768,,,
50000,4.5028,4.5028,4.4276,5.5734,,,4.6866,5.3804,4.4995,,4.4927,4.6937,4.5027,,,
60000,4.4372,4.4372,4.4276,5.3387,,,4.5784,5.3437,4.4341,,4.4336,4.4896,4.4372,,,
70000,4.4276,4.4276,4.4276,5.1262,,,4.4840,5.3118,4.4276,,4.4276,4.4276,4.4276,,,
