ramSize,EACLOCK,EACLOCK-FDW,opt,W-TinyLFU,ARC,WATT,2Q,S3-FIFO,LIRS,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,94.7087,89.7192,77.5232,86.0239,88.7477,91.8908,89.1862,87.8556,90.9371,90.7150,95.7219,95.8920,95.6616,95.2458,95.8449,96.0533
200,87.5832,85.1233,70.2322,80.9895,84.5894,87.4461,85.0979,83.4261,86.9331,86.6258,92.3720,92.7227,92.1493,91.5453,92.7033,93.1291
300,83.7855,81.2968,65.1740,77.3276,81.5228,84.0831,82.0876,80.1908,83.8792,83.5548,89.5942,90.0419,89.2990,88.5515,90.0255,90.6649
400,81.5025,78.0002,61.1878,74.3551,78.9914,81.3482,79.5248,77.5457,81.3212,80.9702,87.1508,87.6737,86.7946,85.9406,87.6786,88.4834
500,78.6280,75.9304,57.8616,71.8594,76.8290,78.7674,77.3276,75.2721,79.0589,78.6940,84.9261,85.5130,84.5250,83.5902,85.4945,86.4773
600,77.2872,73.4230,54.9637,69.6364,74.8862,76.4428,75.3450,73.2133,76.9993,76.6195,82.8961,83.5405,82.4438,81.4139,83.4925,84.6150
700,74.0874,71.7453,52.4200,67.6181,73.1218,74.2987,73.5296,71.3581,75.1114,74.7346,80.9671,81.6555,80.4574,79.3754,81.6697,82.8390
800,70.9380,69.2900,50.1395,65.7854,71.4876,72.3540,71.8442,69.6810,73.3618,72.9591,79.1540,79.8929,78.6033,77.4756,79.9174,81.2098
900,66.8069,66.6182,48.0699,64.0721,69.9648,70.6358,70.2920,68.0732,71.7006,71.2738,77.4466,78.2112,76.8617,75.6506,78.2107,79.5895
1000,65.4326,64.8703,46.1665,62.4537,68.5316,68.8559,68.7986,66.5979,70.1469,69.7273,75.7892,76.6023,75.1600,73.9353,76.6229,78.0648
2000,51.5656,51.5656,32.5144,50.1556,57.0473,55.8402,56.8564,54.5890,57.2638,56.8466,61.8748,62.8600,60.9617,59.5828,62.9435,65.0487
3000,41.8778,41.8778,23.8625,41.2467,48.4894,45.8698,47.4846,45.3222,47.1878,46.7702,50.7670,51.7553,49.6583,48.4236,51.9376,54.3551
4000,33.8677,33.8677,17.5865,33.8488,39.6989,37.4436,39.3673,37.4226,38.5179,38.1436,41.2603,42.2188,40.0572,39.0039,42.4107,44.9077
5000,27.1210,27.1210,12.8099,27.4861,32.7873,30.0147,32.0357,30.3957,30.8206,30.4946,32.8307,33.6432,31.6146,30.8187,33.8334,36.4347
6000,21.0809,21.0809,9.0756,21.6415,25.1499,23.0662,25.1673,23.9487,23.8314,23.5337,25.1734,25.8329,24.0206,23.5223,26.0851,28.5121
7000,15.5002,15.5002,6.1219,16.1709,18.2117,16.9627,18.6786,17.6727,17.3555,17.1777,18.2265,18.6922,17.2286,16.9906,18.9165,20.9959
8000,10.2802,10.2802,3.8165,11.0917,11.8412,11.2358,12.6039,11.9370,11.3839,11.2676,11.8471,12.1188,11.0935,11.0369,12.3212,13.9974
9000,5.4643,5.4643,2.0843,6.1501,6.0626,5.9701,6.8482,6.5399,5.8787,5.8247,6.0627,6.1994,5.6774,5.6910,6.2630,7.2763
10000,1.0000,1.0000,1.0000,1.6193,1.0000,1.0000,1.7831,1.8171,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
