ramSize,EACLOCK,EACLOCK-FDW,opt,StaticOpt,ARC,WATT,2Q,S3fifo,LIRS,W-TinyLFU,TinyLFU_3,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,55.2611,52.1150,41.8195,47.1195,,,51.4935,,51.7946,,,,61.0018,62.3067,59.9450,58.4440,,
200,44.1438,43.1248,34.5881,40.0265,,,44.3488,,44.6606,,,,52.6960,53.9426,51.6599,50.2599,,
300,38.9438,38.1219,30.4195,35.9035,,,40.2539,,40.4555,,,,47.7104,48.9178,46.7077,45.3991,,
400,35.4992,34.7887,27.4931,32.9534,,,37.2928,,37.4964,,,,44.1317,45.2854,43.1434,41.8713,,
500,33.0272,32.4970,25.2286,30.6610,,,35.0314,,35.1437,,,,41.3356,42.4663,40.3537,39.1293,,
600,31.2496,30.6178,23.3987,28.7873,,,33.1609,,33.1936,,,,39.0400,40.1522,38.0541,36.8784,,
700,29.3439,28.8916,21.8707,27.2150,,,31.5562,,31.5524,,,,37.0774,38.1488,36.1241,34.9912,,
800,27.3646,27.7592,20.5544,25.8547,,,30.1804,,30.1494,,,,35.3618,36.4334,34.4048,33.3102,,
900,26.1790,27.2288,19.3928,24.6498,,,28.9644,,28.8849,,,,33.8240,34.8648,32.8964,31.8440,,
1000,25.0633,25.1262,18.3671,23.5753,,,27.8617,,27.7513,,,,32.4590,33.4679,31.5212,30.4987,,
2000,17.7176,17.7255,11.8557,16.5210,,,20.5714,,20.1616,,,,23.2230,24.0613,22.3782,21.6163,,
3000,13.6211,13.6421,8.3278,12.4323,,,16.1533,,15.5284,,,,17.6296,18.3184,16.8735,16.3186,,
4000,10.7313,10.7307,6.0192,9.5718,,,12.9222,,12.1314,,,,13.5614,14.1218,12.9280,12.5191,,
5000,8.4710,8.4682,4.3952,7.3558,,,10.2730,,9.4170,,,,10.3836,10.7961,9.8443,9.5768,,
6000,6.5445,6.5374,3.1896,5.5387,,,8.0397,,7.1524,,,,7.7586,8.0687,7.3266,7.1679,,
7000,4.8641,4.8578,2.3118,4.0286,,,6.0738,,5.2335,,,,5.5380,5.7559,5.2453,5.1902,,
8000,3.3594,3.3560,1.6688,2.7461,,,4.3341,,3.5601,,,,3.6945,3.7992,3.5046,3.4933,,
9000,2.0471,2.0471,1.2267,1.7115,,,2.8532,,2.1096,,,,2.1520,2.2073,2.0581,2.0797,,
10000,1.0000,1.0000,1.0000,1.0000,,,1.7661,,1.0000,,,,1.0000,1.0000,1.0000,1.0000,,
