ramSize,EACLOCK,EACLOCK-FDW,opt,opt2,opt3,StaticOpt,ARC,WATT,2Q,S3fifo,LIRS,W-TinyLFU,TinyLFU_3,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,55.2611,52.1150,41.8195,41.8195,41.8195,47.1195,50.2930,52.9937,51.4935,,51.7946,,,51.3554,61.0018,62.3067,59.9450,58.4440,62.4131,65.8134
200,44.1438,43.1248,34.5881,34.5881,34.5881,40.0265,43.2427,45.4992,44.3488,,44.6606,,,44.2047,52.6960,53.9426,51.6599,50.2599,54.0351,57.5585
300,38.9438,38.1219,30.4195,30.4195,30.4195,35.9035,39.2038,41.0233,40.2539,,40.4555,,,40.0477,47.7104,48.9178,46.7077,45.3991,49.0250,52.4863
400,35.4992,34.7887,27.4931,27.4931,27.4931,32.9534,36.3338,37.9845,37.2928,,37.4964,,,37.0547,44.1317,45.2854,43.1434,41.8713,45.4499,48.8802
500,33.0272,32.4970,25.2286,25.2286,25.2286,30.6610,34.0930,35.5485,35.0314,,35.1437,,,34.7087,41.3356,42.4663,40.3537,39.1293,42.5854,46.0319
600,31.2496,30.6178,23.3987,23.3987,23.3987,28.7873,32.2811,33.5045,33.1609,,33.1936,,,32.7966,39.0400,40.1522,38.0541,36.8784,40.3007,43.6884
700,29.3439,28.8916,21.8707,21.8707,21.8707,27.2150,30.7370,31.8138,31.5562,,31.5524,,,31.1948,37.0774,38.1488,36.1241,34.9912,38.2931,41.6871
800,27.3646,27.7592,20.5544,20.5544,20.5544,25.8547,29.3942,30.3674,30.1804,,30.1494,,,29.7779,35.3618,36.4334,34.4048,33.3102,36.5526,39.9251
900,26.1790,27.2288,19.3928,19.3928,19.3928,24.6498,28.2252,29.0453,28.9644,,28.8849,,,28.5217,33.8240,34.8648,32.8964,31.8440,35.0510,38.3639
1000,25.0633,25.1262,18.3671,18.3671,18.3671,23.5753,27.1980,27.8946,27.8617,,27.7513,,,27.4045,32.4590,33.4679,31.5212,30.4987,33.6098,36.9523
2000,17.7176,17.7255,11.8557,11.8557,11.8557,16.5210,20.3619,20.1138,20.5714,,20.1616,,,19.8700,23.2230,24.0613,22.3782,21.6163,24.1886,27.1964
3000,13.6211,13.6421,8.3278,8.3278,8.3278,12.4323,16.3665,15.3919,16.1533,,15.5284,,,15.3191,17.6296,18.3184,16.8735,16.3186,18.4642,21.0768
4000,10.7313,10.7307,6.0192,6.0192,6.0192,9.5718,12.7404,12.0120,12.9222,,12.1314,,,11.9486,13.5614,14.1218,12.9280,12.5191,14.2218,16.6377
5000,8.4710,8.4682,4.3952,4.3952,4.3952,7.3558,10.2958,9.3836,10.2730,,9.4170,,,9.2752,10.3836,10.7961,9.8443,9.5768,10.9119,12.9384
6000,6.5445,6.5374,3.1896,3.1896,3.1896,5.5387,7.6951,7.0839,8.0397,,7.1524,,,7.0334,7.7586,8.0687,7.3266,7.1679,8.1608,9.8689
7000,4.8641,4.8578,2.3118,2.3118,2.3118,4.0286,5.5020,5.2105,6.0738,,5.2335,,,5.1643,5.5380,5.7559,5.2453,5.1902,5.8701,7.1830
8000,3.3594,3.3560,1.6688,1.6688,1.6688,2.7461,3.6795,3.5854,4.3341,,3.5601,,,3.5129,3.6945,3.7992,3.5046,3.4933,3.8636,4.7731
9000,2.0471,2.0471,1.2267,1.2267,1.2267,1.7115,2.1449,2.1816,2.8532,,2.1096,,,2.0915,2.1520,2.2073,2.0581,2.0797,2.2251,2.7302
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.7661,,1.0000,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
