algo,ramSize,elements,reads,writes
2Q,100,1000000,240538,71742
2Q,700,1000000,134875,50492
2Q,800,1000000,127500,49000
2Q,900,1000000,120919,47641
2Q,1000,1000000,115207,46441
2Q,2000,1000000,76174,38443
2Q,3000,1000000,57017,33345
2Q,4000,1000000,42952,29249
2Q,5000,1000000,33020,26160
2Q,6000,1000000,28707,24148
2Q,7000,1000000,25860,22778
2Q,8000,1000000,23780,21702
2Q,9000,1000000,22191,20798
2Q,10000,1000000,21023,20098
2Q,11000,1000000,20182,19493
2Q,12000,1000000,19603,18906
2Q,13000,1000000,19089,18649
2Q,14000,1000000,18641,18490
2Q,15000,1000000,18157,18330
2Q,16000,1000000,17724,18172
2Q,17000,1000000,17344,18011
ARC,100,1000000,290020,74148
ARC,700,1000000,140163,47400
ARC,800,1000000,131336,45217
ARC,900,1000000,123948,43543
ARC,1000,1000000,117080,42002
ARC,2000,1000000,71304,31701
ARC,3000,1000000,49778,25961
ARC,4000,1000000,41053,22660
ARC,5000,1000000,34588,20075
ARC,6000,1000000,29687,17870
ARC,7000,1000000,25735,16033
ARC,8000,1000000,22753,14697
ARC,9000,1000000,20666,13718
ARC,10000,1000000,19097,12977
ARC,11000,1000000,18082,12479
ARC,12000,1000000,17316,12131
ARC,13000,1000000,16833,11940
ARC,14000,1000000,16449,11826
ARC,15000,1000000,16218,11765
ARC,16000,1000000,16129,11741
ARC,17000,1000000,16128,11740
CLOCK,100,1000000,289236,75533
CLOCK,700,1000000,158592,55804
CLOCK,800,1000000,148453,53685
CLOCK,900,1000000,140212,51699
CLOCK,1000,1000000,132621,49833
CLOCK,2000,1000000,81864,36964
CLOCK,3000,1000000,54180,29182
CLOCK,4000,1000000,41437,24544
CLOCK,5000,1000000,34828,21628
CLOCK,6000,1000000,30203,19304
CLOCK,7000,1000000,26834,17627
CLOCK,8000,1000000,24091,16114
CLOCK,9000,1000000,22002,14961
CLOCK,10000,1000000,20385,14113
CLOCK,11000,1000000,19137,13440
CLOCK,12000,1000000,18130,12880
CLOCK,13000,1000000,17490,12507
CLOCK,14000,1000000,16934,12194
CLOCK,15000,1000000,16473,11924
CLOCK,16000,1000000,16147,11742
CLOCK,17000,1000000,16128,11740
Clock Sweep,100,1000000,280095,72313
Clock Sweep,700,1000000,147229,48288
Clock Sweep,800,1000000,139508,46559
Clock Sweep,900,1000000,132219,45050
Clock Sweep,1000,1000000,125553,43683
Clock Sweep,2000,1000000,80287,33783
Clock Sweep,3000,1000000,55192,26899
Clock Sweep,4000,1000000,43105,22415
Clock Sweep,5000,1000000,35863,19386
Clock Sweep,6000,1000000,30578,17090
Clock Sweep,7000,1000000,26643,15469
Clock Sweep,8000,1000000,23595,14278
Clock Sweep,9000,1000000,21386,13439
Clock Sweep,10000,1000000,19682,12809
Clock Sweep,11000,1000000,18423,12393
Clock Sweep,12000,1000000,17481,12130
Clock Sweep,13000,1000000,16858,11948
Clock Sweep,14000,1000000,16449,11826
Clock Sweep,15000,1000000,16218,11765
Clock Sweep,16000,1000000,16129,11741
Clock Sweep,17000,1000000,16128,11740
EACLOCK,100,1000000,277353,70845
EACLOCK,700,1000000,139416,42303
EACLOCK,800,1000000,131602,41021
EACLOCK,900,1000000,125425,39239
EACLOCK,1000,1000000,119343,38115
EACLOCK,2000,1000000,79978,29208
EACLOCK,3000,1000000,59149,23530
EACLOCK,4000,1000000,44841,19841
EACLOCK,5000,1000000,36886,17117
EACLOCK,6000,1000000,31425,15347
EACLOCK,7000,1000000,27020,14207
EACLOCK,8000,1000000,23831,13402
EACLOCK,9000,1000000,21369,12840
EACLOCK,10000,1000000,19626,12481
EACLOCK,11000,1000000,18384,12218
EACLOCK,12000,1000000,17462,12037
EACLOCK,13000,1000000,16866,11926
EACLOCK,14000,1000000,16449,11826
EACLOCK,15000,1000000,16218,11765
EACLOCK,16000,1000000,16129,11741
EACLOCK,17000,1000000,16128,11740
EACLOCK-FDW,100,1000000,293625,72954
EACLOCK-FDW,700,1000000,134043,42402
EACLOCK-FDW,800,1000000,125960,41048
EACLOCK-FDW,900,1000000,117917,39185
EACLOCK-FDW,1000,1000000,113658,37932
EACLOCK-FDW,2000,1000000,79978,29208
EACLOCK-FDW,3000,1000000,59149,23530
EACLOCK-FDW,4000,1000000,44841,19841
EACLOCK-FDW,5000,1000000,36886,17117
EACLOCK-FDW,6000,1000000,31425,15347
EACLOCK-FDW,7000,1000000,27020,14207
EACLOCK-FDW,8000,1000000,23831,13402
EACLOCK-FDW,9000,1000000,21369,12840
EACLOCK-FDW,10000,1000000,19626,12481
EACLOCK-FDW,11000,1000000,18384,12218
EACLOCK-FDW,12000,1000000,17462,12037
EACLOCK-FDW,13000,1000000,16866,11926
EACLOCK-FDW,14000,1000000,16449,11826
EACLOCK-FDW,15000,1000000,16218,11765
EACLOCK-FDW,16000,1000000,16129,11741
EACLOCK-FDW,17000,1000000,16128,11740
EACLOCK-FWA,100,1000000,284515,69109
EACLOCK-FWA,700,1000000,147967,42866
EACLOCK-FWA,800,1000000,140329,41829
EACLOCK-FWA,900,1000000,135025,41001
EACLOCK-FWA,1000,1000000,124659,38738
EACLOCK-FWA,2000,1000000,84885,29166
EACLOCK-FWA,3000,1000000,60649,23060
EACLOCK-FWA,4000,1000000,45543,19391
EACLOCK-FWA,5000,1000000,37126,16837
EACLOCK-FWA,6000,1000000,31492,15208
EACLOCK-FWA,7000,1000000,27144,14143
EACLOCK-FWA,8000,1000000,23836,13353
EACLOCK-FWA,9000,1000000,21459,12840
EACLOCK-FWA,10000,1000000,19677,12454
EACLOCK-FWA,11000,1000000,18388,12184
EACLOCK-FWA,12000,1000000,17464,12026
EACLOCK-FWA,13000,1000000,16866,11926
EACLOCK-FWA,14000,1000000,16449,11826
EACLOCK-FWA,15000,1000000,16218,11765
EACLOCK-FWA,16000,1000000,16129,11741
EACLOCK-FWA,17000,1000000,16128,11740
Hyperbolic,100,1000000,277583,72048
Hyperbolic,700,1000000,145850,47558
Hyperbolic,800,1000000,138216,45735
Hyperbolic,900,1000000,130853,44234
Hyperbolic,1000,1000000,124144,42850
Hyperbolic,2000,1000000,79169,33115
Hyperbolic,3000,1000000,55424,26547
Hyperbolic,4000,1000000,43674,22307
Hyperbolic,5000,1000000,36305,19289
Hyperbolic,6000,1000000,30887,17061
Hyperbolic,7000,1000000,26941,15480
Hyperbolic,8000,1000000,23914,14295
