algo,ramSize,elements,reads,writes
2Q,100,1000000,634741,72755
2Q,200,1000000,565726,65704
2Q,300,1000000,523057,61363
2Q,400,1000000,491681,58170
2Q,500,1000000,466369,55628
2Q,600,1000000,445239,53505
2Q,700,1000000,426922,51747
2Q,800,1000000,411102,50204
2Q,900,1000000,396690,48756
2Q,1000,1000000,383580,47407
2Q,2000,1000000,292291,38214
2Q,3000,1000000,233767,32324
2Q,4000,1000000,188853,27768
2Q,5000,1000000,150541,23803
2Q,6000,1000000,117094,20359
2Q,7000,1000000,87746,17399
2Q,8000,1000000,60724,14621
2Q,9000,1000000,36507,12072
2Q,10000,1000000,17736,10080
ARC,100,1000000,623534,67656
ARC,200,1000000,554438,61339
ARC,300,1000000,512440,57633
ARC,400,1000000,481666,55038
ARC,500,1000000,457001,52933
ARC,600,1000000,436471,51156
ARC,700,1000000,419058,49777
ARC,800,1000000,403740,48554
ARC,900,1000000,389678,47481
ARC,1000,1000000,377060,46482
ARC,2000,1000000,290927,40106
ARC,3000,1000000,237373,36344
ARC,4000,1000000,187477,33571
ARC,5000,1000000,152742,31528
ARC,6000,1000000,114586,27092
ARC,7000,1000000,81979,22820
ARC,8000,1000000,53724,18444
ARC,9000,1000000,29220,13940
ARC,10000,1000000,10000,9338
CLOCK,100,1000000,749891,88101
CLOCK,200,1000000,672661,81434
CLOCK,300,1000000,623324,77157
CLOCK,400,1000000,585941,74066
CLOCK,500,1000000,555921,71394
CLOCK,600,1000000,530244,69157
CLOCK,700,1000000,508429,67206
CLOCK,800,1000000,488741,65448
CLOCK,900,1000000,471037,63791
CLOCK,1000,1000000,454824,62380
CLOCK,2000,1000000,339581,52102
CLOCK,3000,1000000,264026,44917
CLOCK,4000,1000000,206187,39202
CLOCK,5000,1000000,158934,34011
CLOCK,6000,1000000,119221,29240
CLOCK,7000,1000000,85227,24635
CLOCK,8000,1000000,55370,19872
CLOCK,9000,1000000,30063,14774
CLOCK,10000,1000000,10000,9338
Clock Sweep,100,1000000,729482,82054
Clock Sweep,200,1000000,651531,74989
Clock Sweep,300,1000000,601563,70527
Clock Sweep,400,1000000,564000,67155
Clock Sweep,500,1000000,533784,64327
Clock Sweep,600,1000000,508200,61951
Clock Sweep,700,1000000,485986,59986
Clock Sweep,800,1000000,466411,58107
Clock Sweep,900,1000000,448846,56530
Clock Sweep,1000,1000000,432714,54989
Clock Sweep,2000,1000000,319151,44438
Clock Sweep,3000,1000000,245331,37446
Clock Sweep,4000,1000000,189900,31926
Clock Sweep,5000,1000000,145586,27195
Clock Sweep,6000,1000000,108688,23135
Clock Sweep,7000,1000000,77456,19385
Clock Sweep,8000,1000000,50746,15847
Clock Sweep,9000,1000000,27783,12466
Clock Sweep,10000,1000000,10000,9338
EACLOCK,100,1000000,656316,67785
EACLOCK,200,1000000,553755,56705
EACLOCK,300,1000000,562820,61649
EACLOCK,400,1000000,478934,49691
EACLOCK,500,1000000,443480,45886
EACLOCK,600,1000000,437529,46426
EACLOCK,700,1000000,424518,45789
EACLOCK,800,1000000,392896,41831
EACLOCK,900,1000000,361012,37935
EACLOCK,1000,1000000,373248,40908
EACLOCK,2000,1000000,254325,28203
EACLOCK,3000,1000000,198755,23454
EACLOCK,4000,1000000,157302,20089
EACLOCK,5000,1000000,123681,17396
EACLOCK,6000,1000000,95409,15235
EACLOCK,7000,1000000,69977,13471
EACLOCK,8000,1000000,47481,11866
EACLOCK,9000,1000000,27036,10462
EACLOCK,10000,1000000,10000,9338
EACLOCK-FDW,100,1000000,640713,66696
EACLOCK-FDW,200,1000000,562620,58493
EACLOCK-FDW,300,1000000,501945,51567
EACLOCK-FDW,400,1000000,467957,48223
EACLOCK-FDW,500,1000000,440353,45509
EACLOCK-FDW,600,1000000,416758,43432
EACLOCK-FDW,700,1000000,410224,43721
EACLOCK-FDW,800,1000000,388311,41246
