algo,ramSize,elements,reads,writes
2Q,100,0,240538,71742
2Q,700,0,134875,50492
2Q,800,0,127500,49000
2Q,900,0,120919,47641
2Q,1000,0,115207,46441
2Q,2000,0,76174,38443
2Q,3000,0,57017,33345
2Q,4000,0,42952,29249
2Q,5000,0,33020,26160
2Q,6000,0,28707,24148
2Q,7000,0,25860,22778
2Q,8000,0,23780,21702
2Q,9000,0,22191,20798
2Q,10000,0,21023,20098
2Q,11000,0,20182,19493
2Q,12000,0,19603,18906
2Q,13000,0,19089,18649
2Q,14000,0,18641,18490
2Q,15000,0,18157,18330
2Q,16000,0,17724,18172
2Q,17000,0,17344,18011
ARC,100,0,0,0
ARC,700,0,0,0
ARC,800,0,0,0
ARC,900,0,0,0
ARC,1000,0,0,0
ARC,2000,0,0,0
ARC,3000,0,0,0
ARC,4000,0,0,0
ARC,5000,0,0,0
ARC,6000,0,0,0
ARC,7000,0,0,0
ARC,8000,0,0,0
ARC,9000,0,0,0
ARC,10000,0,0,0
ARC,11000,0,0,0
ARC,12000,0,0,0
ARC,13000,0,0,0
ARC,14000,0,0,0
ARC,15000,0,0,0
ARC,16000,0,0,0
ARC,17000,0,0,0
CLOCK,100,0,289236,75533
CLOCK,700,0,158592,55804
CLOCK,800,0,148453,53685
CLOCK,900,0,140212,51699
CLOCK,1000,0,132621,49833
CLOCK,2000,0,81864,36964
CLOCK,3000,0,54180,29182
CLOCK,4000,0,41437,24544
CLOCK,5000,0,34828,21628
CLOCK,6000,0,30203,19304
CLOCK,7000,0,26834,17627
CLOCK,8000,0,24091,16114
CLOCK,9000,0,22002,14961
CLOCK,10000,0,20385,14113
CLOCK,11000,0,19137,13440
CLOCK,12000,0,18130,12880
CLOCK,13000,0,17490,12507
CLOCK,14000,0,16934,12194
CLOCK,15000,0,16473,11924
CLOCK,16000,0,16147,11742
CLOCK,17000,0,16128,11740
Clock Sweep,100,0,280095,72313
Clock Sweep,700,0,147229,48288
Clock Sweep,800,0,139508,46559
Clock Sweep,900,0,132219,45050
Clock Sweep,1000,0,125553,43683
Clock Sweep,2000,0,80287,33783
Clock Sweep,3000,0,55192,26899
Clock Sweep,4000,0,43105,22415
Clock Sweep,5000,0,35863,19386
Clock Sweep,6000,0,30578,17090
Clock Sweep,7000,0,26643,15469
Clock Sweep,8000,0,23595,14278
Clock Sweep,9000,0,21386,13439
Clock Sweep,10000,0,19682,12809
Clock Sweep,11000,0,18423,12393
Clock Sweep,12000,0,17481,12130
Clock Sweep,13000,0,16858,11948
Clock Sweep,14000,0,16449,11826
Clock Sweep,15000,0,16218,11765
Clock Sweep,16000,0,16129,11741
Clock Sweep,17000,0,16128,11740
EACLOCK,100,0,277353,70845
EACLOCK,700,0,139416,42303
EACLOCK,800,0,131602,41021
EACLOCK,900,0,125425,39239
EACLOCK,1000,0,119343,38115
EACLOCK,2000,0,79978,29208
EACLOCK,3000,0,59149,23530
EACLOCK,4000,0,44841,19841
EACLOCK,5000,0,36886,17117
EACLOCK,6000,0,31425,15347
EACLOCK,7000,0,27020,14207
EACLOCK,8000,0,23831,13402
EACLOCK,9000,0,21369,12840
EACLOCK,10000,0,19626,12481
EACLOCK,11000,0,18384,12218
EACLOCK,12000,0,17462,12037
EACLOCK,13000,0,16866,11926
EACLOCK,14000,0,16449,11826
EACLOCK,15000,0,16218,11765
EACLOCK,16000,0,16129,11741
EACLOCK,17000,0,16128,11740
EACLOCK-FDW,100,0,293625,72954
EACLOCK-FDW,700,0,134043,42402
EACLOCK-FDW,800,0,125960,41048
EACLOCK-FDW,900,0,117917,39185
EACLOCK-FDW,1000,0,113658,37932
EACLOCK-FDW,2000,0,79978,29208
EACLOCK-FDW,3000,0,59149,23530
EACLOCK-FDW,4000,0,44841,19841
EACLOCK-FDW,5000,0,36886,17117
EACLOCK-FDW,6000,0,31425,15347
EACLOCK-FDW,7000,0,27020,14207
EACLOCK-FDW,8000,0,23831,13402
EACLOCK-FDW,9000,0,21369,12840
EACLOCK-FDW,10000,0,19626,12481
EACLOCK-FDW,11000,0,18384,12218
EACLOCK-FDW,12000,0,17462,12037
