algo,ramSize,elements,reads,writes
2Q,100,1200000,896995,157553
2Q,1000,1200000,511542,74571
2Q,2000,1200000,346569,41799
2Q,3000,1200000,240392,19797
2Q,4000,1200000,229123,17516
2Q,5000,1200000,217119,15820
2Q,6000,1200000,200034,14980
2Q,7000,1200000,191054,13735
2Q,8000,1200000,181854,12598
2Q,9000,1200000,170906,11727
2Q,10000,1200000,159120,12884
2Q,11000,1200000,147735,12335
2Q,12000,1200000,138783,11977
2Q,13000,1200000,133703,11360
2Q,14000,1200000,108960,9997
2Q,15000,1200000,102409,9806
2Q,16000,1200000,78325,9514
2Q,17000,1200000,60280,9055
2Q,18000,1200000,52558,8621
2Q,19000,1200000,36453,8239
2Q,20000,1200000,25000,7911
ARC,100,1200000,888142,148904
ARC,1000,1200000,490012,64768
ARC,2000,1200000,256344,17484
ARC,3000,1200000,228623,13398
ARC,4000,1200000,217014,12686
ARC,5000,1200000,195427,11756
ARC,6000,1200000,183177,10712
ARC,7000,1200000,211260,11236
ARC,8000,1200000,196564,9701
ARC,9000,1200000,190497,9191
ARC,10000,1200000,186153,8637
ARC,11000,1200000,183145,8613
ARC,12000,1200000,173407,8560
ARC,13000,1200000,98882,8435
ARC,14000,1200000,92831,8366
ARC,15000,1200000,90783,8298
ARC,16000,1200000,85299,8237
ARC,17000,1200000,51404,7931
ARC,18000,1200000,47357,7831
ARC,19000,1200000,31630,7521
ARC,20000,1200000,20000,7277
CLOCK,100,1200000,1028821,177670
CLOCK,1000,1200000,655802,102315
CLOCK,2000,1200000,460547,61285
CLOCK,3000,1200000,311842,29609
CLOCK,4000,1200000,230510,12959
CLOCK,5000,1200000,210084,9305
CLOCK,6000,1200000,205583,8931
CLOCK,7000,1200000,202028,8883
CLOCK,8000,1200000,198684,8823
CLOCK,9000,1200000,195025,8798
CLOCK,10000,1200000,191897,8741
CLOCK,11000,1200000,189125,8710
CLOCK,12000,1200000,130277,8632
CLOCK,13000,1200000,114156,8565
CLOCK,14000,1200000,101567,8481
CLOCK,15000,1200000,82528,8336
CLOCK,16000,1200000,72505,8221
CLOCK,17000,1200000,62003,8134
CLOCK,18000,1200000,45311,7902
CLOCK,19000,1200000,32238,7614
CLOCK,20000,1200000,20000,7277
Clock Sweep,100,1200000,1011598,176107
Clock Sweep,1000,1200000,644985,98476
Clock Sweep,2000,1200000,463521,61040
Clock Sweep,3000,1200000,337944,35881
Clock Sweep,4000,1200000,261880,21382
Clock Sweep,5000,1200000,211475,12081
Clock Sweep,6000,1200000,187208,8556
Clock Sweep,7000,1200000,178494,8411
Clock Sweep,8000,1200000,170049,8311
Clock Sweep,9000,1200000,161904,8198
Clock Sweep,10000,1200000,153806,8090
Clock Sweep,11000,1200000,145925,7990
Clock Sweep,12000,1200000,138152,7895
Clock Sweep,13000,1200000,123662,7800
Clock Sweep,14000,1200000,106885,7695
Clock Sweep,15000,1200000,91249,7613
Clock Sweep,16000,1200000,76384,7515
Clock Sweep,17000,1200000,58043,7420
Clock Sweep,18000,1200000,44951,7344
Clock Sweep,19000,1200000,31953,7298
Clock Sweep,20000,1200000,20000,7277
EACLOCK,100,1200000,997169,172076
EACLOCK,1000,1200000,668081,100686
EACLOCK,2000,1200000,510297,70180
EACLOCK,3000,1200000,439976,58326
EACLOCK,4000,1200000,367977,45999
EACLOCK,5000,1200000,337341,41233
EACLOCK,6000,1200000,292035,33502
EACLOCK,7000,1200000,269950,30799
EACLOCK,8000,1200000,234679,25478
EACLOCK,9000,1200000,212535,22933
EACLOCK,10000,1200000,189678,20007
EACLOCK,11000,1200000,166147,16594
