pages,is_write
2125,False
2,False
2676,False
130,False
7,False
1,False
105,False
106,False
34,False
75,False
71,False
3,False
558,False
209,False
1,False
333,False
415,False
112,False
0,False
957,False
63,False
339,False
2,False
5,False
1748,False
11,False
610,False
8,False
772,False
0,False
5,False
531,False
7,False
2483,False
1112,False
12,False
311,False
1984,False
3689,False
9,False
49,False
4877,False
0,False
107,False
264,False
14,False
0,False
7296,False
245,False
179,False
170,False
3485,False
3978,False
4541,False
4169,False
803,False
2914,False
2161,False
2928,False
2355,False
4092,False
218,False
812,False
6862,False
26,False
1,False
1942,False
6,False
1596,False
4,False
215,False
28,False
2,False
2858,False
3066,False
1,False
214,False
143,False
8,False
59,False
1,False
360,False
228,False
111,False
178,False
7,False
679,False
7,False
2865,False
0,False
4256,False
188,False
0,False
1,False
1,False
626,False
291,False
4,False
0,False
247,False
7,False
236,False
8406,False
20,False
4,False
5512,False
95,False
425,False
17,False
431,False
5,False
0,False
0,False
4,False
1198,False
4,False
629,False
3215,False
127,False
19,False
11,False
49,False
1512,False
77,False
854,False
6,False
110,False
3979,False
0,False
53,False
830,False
2953,False
10,False
9210,False
7121,False
11,False
2,False
2,False
3663,False
6,False
11,False
3750,False
233,False
2584,False
3255,False
0,False
265,False
391,False
54,False
8986,False
15,False
449,False
247,False
304,False
29,False
0,False
287,False
5,False
41,False
348,False
4,False
8,False
3,False
1941,False
84,False
2702,False
4,False
8541,False
155,False
115,False
3969,False
6,False
115,False
11,False
1,False
0,False
7,False
2772,False
97,False
41,False
9396,False
55,False
1740,False
2504,False
6,False
8191,False
19,False
24,False
172,False
4,False
43,False
2363,False
9259,False
0,False
37,False
5023,False
44,False
0,False
11,False
0,False
665,False
242,False
169,False
7,False
45,False
189,False
710,False
81,False
47,False
0,False
48,False
0,False
1,False
505,False
0,False
668,False
295,False
2,False
711,False
13,False
0,False
29,False
6147,False
744,False
34,False
1,False
184,False
2651,False
16,False
245,False
102,False
86,False
0,False
7971,False
6486,False
2,False
53,False
50,False
3800,False
2605,False
5,False
4,False
3,False
1170,False
0,False
6345,False
342,False
0,False
1,False
3,False
9045,False
7946,False
9240,False
1,False
87,False
27,False
3,False
105,False
3478,False
3028,False
1224,False
90,False
647,False
1876,False
5,False
10,False
23,False
0,False
1396,False
3132,False
24,False
8830,False
1,False
0,False
36,False
0,False
7,False
12,False
1411,False
0,False
2191,False
0,False
100,False
250,False
7626,False
693,False
3422,False
3789,False
4,False
16,False
12,False
6,False
3,False
1,False
84,False
395,False
590,False
0,False
3931,False
7474,False
13,False
909,False
384,False
158,False
55,False
486,False
588,False
1984,False
514,False
2337,False
5,False
142,False
22,False
734,False
1903,False
42,False
7,False
133,False
117,False
833,False
151,False
2,False
0,False
270,False
98,False
6,False
2,False
1984,False
3,False
18,False
125,False
251,False
436,False
1060,False
5915,False
3852,False
9702,False
4,False
7791,False
841,False
7519,False
7994,False
9,False
8708,False
7,False
812,False
12,False
27,False
1308,False
1097,False
98,False
3,False
5807,False
0,False
128,False
4605,False
352,False
14,False
70,False
2074,False
30,False
21,False
0,False
1,False
4,False
323,False
167,False
241,False
30,False
4,False
0,False
75,False
461,False
21,False
5336,False
13,False
9591,False
4146,False
7780,False
938,False
22,False
0,False
9,False
17,False
148,False
2256,False
3086,False
6963,False
3715,False
17,False
0,False
23,False
80,False
83,False
52,False
140,False
759,False
0,False
4,False
8,False
6521,False
94,False
2441,False
344,False
1,False
4951,False
7429,False
10,False
29,False
40,False
240,False
137,False
0,False
0,False
3,False
57,False
2251,False
7132,False
1,False
12,False
57,False
768,False
2,False
8157,False
4,False
7,False
79,False
118,False
4312,False
819,False
731,False
300,False
0,False
941,False
487,False
62,False
16,False
214,False
1,False
4,False
61,False
5,False
0,False
239,False
251,False
33,False
365,False
542,False
47,False
86,False
11,False
151,False
0,False
507,False
1525,False
2,False
8911,False
1,False
883,False
111,False
9,False
2,False
37,False
94,False
2,False
157,False
3640,False
142,False
34,False
0,False
293,False
5,False
9163,False
9,False
4196,False
7088,False
0,False
2066,False
5,False
8334,False
0,False
2134,False
49,False
1,False
1,False
74,False
0,False
172,False
4176,False
2859,False
5,False
9553,False
2,False
57,False
207,False
59,False
1193,False
6159,False
251,False
36,False
479,False
10,False
19,False
14,False
11,False
1015,False
2216,False
0,False
1,False
23,False
8998,False
0,False
14,False
2949,False
8691,False
3,False
38,False
65,False
348,False
101,False
288,False
168,False
8504,False
19,False
573,False
0,False
6001,False
78,False
2440,False
262,False
12,False
8722,False
359,False
429,False
99,False
44,False
83,False
9,False
1,False
660,False
172,False
2,False
6,False
1407,False
2372,False
0,False
8329,False
663,False
2446,False
0,False
1,False
4,False
3981,False
813,False
3,False
49,False
13,False
436,False
320,False
1,False
2,False
102,False
7013,False
162,False
5,False
49,False
108,False
4718,False
90,False
0,False
553,False
93,False
5760,False
10,False
14,False
0,False
34,False
0,False
931,False
0,False
3,False
490,False
503,False
26,False
1,False
2159,False
570,False
0,False
245,False
729,False
276,False
4,False
884,False
1,False
3,False
854,False
0,False
1559,False
150,False
56,False
632,False
31,False
187,False
2,False
40,False
165,False
32,False
21,False
120,False
9,False
783,False
33,False
327,False
9,False
40,False
1474,False
48,False
541,False
1999,False
3002,False
2,False
121,False
0,False
170,False
26,False
55,False
5,False
25,False
141,False
0,False
24,False
14,False
144,False
2,False
60,False
1,False
5842,False
119,False
454,False
0,False
4,False
10,False
2277,False
24,False
1656,False
258,False
8866,False
